Time (s),Shoulder x,Shoulder y,Shoulder z,Elbow x,Elbow y,Elbow z,Wrist x,Wrist y,Wrist z
0.0,0,0,0,0.28,0.0,0.0,0.36550503583141725,1.4384894502848128e-17,0.23492315519647708
0.1,0,0,0,0.28,0.0,0.0,0.3856545654351749,1.387383663045943e-17,0.22657694675916248
0.2,0,0,0,0.28,0.0,0.0,0.405,1.3257190484061336e-17,0.21650635094610968
0.30000000000000004,0,0,0,0.28,0.0,0.0,0.4233941090877616,1.2539649113169058e-17,0.20478801107224792
0.4,0,0,0,0.28,0.0,0.0,0.4406969024216349,1.1726673440878412e-17,0.19151111077974448
0.5,0,0,0,0.28,0.0,0.0,0.4567766952966369,1.0824450702943668e-17,0.1767766952966369
0.6000000000000001,0,0,0,0.28,0.0,0.0,0.4715111107797445,9.839847359177483e-18,0.16069690242163484
0.7000000000000001,0,0,0,0.28,0.0,0.0,0.48478801107224795,8.78035683554568e-18,0.14339410908776157
0.8,0,0,0,0.28,0.0,0.0,0.49650635094610973,7.654042494670954e-18,0.12499999999999996
0.9,0,0,0,0.28,0.0,0.0,0.5065769467591625,6.469476268774573e-18,0.10565456543517485
1.0,0,0,0,0.28,0.0,0.0,0.5149231551964771,5.2356734220962405e-18,0.08550503583141719
