Time (s),Shoulder x,Shoulder y,Shoulder z,Elbow x,Elbow y,Elbow z,Wrist x,Wrist y,Wrist z
0.0,0,0,0,0.33000973464388444,-0.1072462220366569,-0.253766180370262,0.624661283433067,-0.2030017774265292,-0.4803431271294245
0.1,0,0,0,0.3586067167714239,-0.1282745033831031,-0.236149604827608,0.6757133704661226,-0.2428053099751594,-0.40788885002077163
0.2,0,0,0,0.3908070790681871,-0.1418265936410829,-0.2144924440733138,0.7275061001671426,-0.2684574808206213,-0.3287493062593216
0.3,0,0,0,0.4246940644039905,-0.1472417496566855,-0.1891652581323848,0.7766368243832168,-0.2787075975644405,-0.2445651851014133
0.4,0,0,0,0.45824819685075524,-0.1443425437555422,-0.1606014021782929,0.8196526212040951,-0.2732198149658478,-0.1570491981929362
0.5,0,0,0,0.4894672577328444,-0.1334453605144935,-0.1292896117058094,0.8532682902909494,-0.2525930038310056,-0.067950069717931
0.6000000000000001,0,0,0,0.516485237215818,-0.1153415569048826,-0.0957656401311872,0.874579083517345,-0.2183250898556707,0.020983572631132513
0.7000000000000001,0,0,0,0.5376831946916847,-0.0912504050693693,-0.0606030919026688,0.8812551006012899,-0.1727239810241634,0.1080386356598974
0.8,0,0,0,0.5517854419051413,-0.0627466133469018,-0.0244036079693442,0.8717052636284688,-0.11877037526377839,0.1915715854175296
0.9,0,0,0,0.5579353347196947,-0.0316667314298098,0.0122134284622941,0.8452004998366227,-0.05994059877785438,0.2700403604524125
1.0,0,0,0,0.5557461708434184,2.977207589406085e-18,0.0486214897467405,0.8019481090964703,2.094351364071772e-17,0.3420335341634732
