Time (s),Shoulder x,Shoulder y,Shoulder z,Elbow x,Elbow y,Elbow z,Wrist x,Wrist y,Wrist z
0.0,0,0,0,0.05000973464388449,-0.10724622203665693,-0.253766180370262,0.09466128343306707,-0.2030017774265292,-0.4803431271294245
0.1,0,0,0,0.07860671677142395,-0.1282745033831031,-0.236149604827608,0.14879128531733818,-0.24280530997515942,-0.44699746628082937
0.2,0,0,0,0.1108070790681871,-0.14182659364108297,-0.21449244407331386,0.20974197109335413,-0.2684574808206213,-0.4060035548530584
0.30000000000000004,0,0,0,0.1446940644039905,-0.14724174965668557,-0.18916525813238488,0.2738851933361248,-0.2787075975644405,-0.3580628100362999
0.4,0,0,0,0.17824819685075527,-0.14434254375554223,-0.1606014021782929,0.3373983726103582,-0.2732198149658478,-0.3039955112660544
0.5,0,0,0,0.2094672577328444,-0.13344536051449354,-0.12928961170580947,0.3964915949943126,-0.25259300383100564,-0.24472676501456792
0.6000000000000001,0,0,0,0.23648523721581793,-0.11534155690488265,-0.09576564013118723,0.4476327704442268,-0.21832508985567073,-0.18127067596260438
0.7000000000000001,0,0,0,0.25768319469168477,-0.09125040506936935,-0.060603091902668806,0.48775747566640326,-0.17272398102416342,-0.11471299538719451
0.8,0,0,0,0.27178544190514137,-0.0627466133469018,-0.024403607969344262,0.5144510150347319,-0.1187703752637784,-0.04619254365625878
0.9,0,0,0,0.2779353347196947,-0.03166673142980988,0.01221342846229413,0.526091883576565,-0.05994059877785441,0.023118275303628172
1.0,0,0,0,0.2757461708434183,2.9772075894060846e-18,0.04862148974674057,0.5219481090964703,5.6354286513758026e-18,0.09203353416347321
