Time (s),Shoulder x,Shoulder y,Shoulder z,Elbow x,Elbow y,Elbow z,Wrist x,Wrist y,Wrist z
0.0,0,0,0,0.28,0.0,0.0,0.53,0.0,0.0
0.1,0,0,0,0.28,0.0,0.0,0.5269220851487845,2.3947120860980907e-18,0.03910861626005772
0.2,0,0,0,0.28,0.0,0.0,0.5177641290737884,4.7304584130426874e-18,0.07725424859373685
0.30000000000000004,0,0,0,0.28,0.0,0.0,0.502751631047092,6.94972515436679e-18,0.11349762493488669
0.4,0,0,0,0.28,0.0,0.0,0.4822542485937369,8.997866597574958e-18,0.14694631307311828
0.5,0,0,0,0.28,0.0,0.0,0.4567766952966369,1.0824450702943668e-17,0.1767766952966369
0.6000000000000001,0,0,0,0.28,0.0,0.0,0.4269463130731183,1.2384500907713645e-17,0.20225424859373686
0.7000000000000001,0,0,0,0.28,0.0,0.0,0.3934976249348867,1.3639603598333667e-17,0.22275163104709195
0.8,0,0,0,0.28,0.0,0.0,0.3572542485937369,1.4558853981113654e-17,0.23776412907378838
0.9,0,0,0,0.28,0.0,0.0,0.31910861626005776,1.5119617060812452e-17,0.24692208514878444
1.0,0,0,0,0.28,0.0,0.0,0.28,1.5308084989341915e-17,0.25
